,lib_code,lib_name,addr,lib_latitude,lib_longitude,address1,address2,lib_sign,api_lib_sign,tel,fax,homepage,operatingTime,closedOn,lib_type,lib_type_nm,establish,open_year,zipcode,lib_utmk_x,lib_utmk_y,first_loan_year,part_year,master_lib_code,lib_alias,code,locate_code,addr_old,lib_name_nl,lib_name_origin,main_lib,areacode1,areacode2,wd_area_code,행정동
60,100,성북정보도서관,서울특별시 성북구 화랑로18자길 13,37.604848600000004,127.050425,서울특별시,성북구,111044.0,111044.0,02-962-1081,02-962-5335,https://www.sblib.seoul.kr/,09:00~22:00,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일이 공휴일일 경우 휴관), 도서관 사정에 의한 임시휴관일",1,공공,지자체,2002,02791,960317.557473464,1956253.61258943,2002.0,2015.0,100,정보,BR,1,서울특별시 성북구 상월곡동 24-348,성북정보도서관,성북정보도서관,Y,서울특별시,성북구,서울,월곡2동
61,101,해오름도서관,"서울특별시 성북구 성북로4길 52, 주차장 위 지상 2층",37.5941774,127.010608,서울특별시,성북구,111123.0,111123.0,02-6925-7002,02-6442-1081,https://www.sblib.seoul.kr/,"09~18시(평일, 주말 동일)",매주 월요일 / 주말을 제외한 법정공휴일 등,1,공공,지자체,2009,02831,956796.856208284,1955087.26371786,2009.0,2015.0,100,해오름,BT,1,서울특별시 성북구 돈암동 609-1,해오름어린이도서관,해오름어린이도서관,N,서울특별시,성북구,서울,돈암2동
62,102,아리랑도서관,서울특별시 성북구 아리랑로 82,37.599898700000004,127.013975,서울특별시,성북구,111048.0,111048.0,02-3291-4990,02-3291-4993,https://www.sblib.seoul.kr/arlib,"평일(월~금) 09:00~22:00, 주말(토~일) 09:00~18:00","매월 둘째주, 넷째주 월요일 / 일요일을 제외한 법정공휴일, 관장이 필요하다고 인정하는 날",1,공공,지자체,2004,02827,957097.379335884,1955720.47263245,2004.0,2015.0,100,아리랑,MA,1,서울특별시 성북구 돈암동 538-98,아리랑정보도서관,아리랑정보도서관,N,서울특별시,성북구,서울,돈암2동
64,104,석관동미리내도서관,서울특별시 성북구 한천로66길 203,37.613521999999996,127.06546000000002,서울특별시,성북구,111301.0,111301.0,02-960-5067,02-6442-6925,https://www.sblib.seoul.kr/,09:00~18:00(수요일:09:00~21:00),"매주 월요일 / 일요일을 제외한 법정공휴일(단 일요일이 공휴일인 경우 휴관), 기타 도서관장이 필요하다고 인정하는 경우",1,공공,지자체,2015,02781,961649.105883986,1957209.63938009,2015.0,2015.0,100,석관,MF,1,서울특별시 성북구 석관동 134-2,석관동 미리내도서관,석관미리내도서관,N,서울특별시,성북구,서울,석관동
65,105,정릉도서관,서울특별시 성북구 정릉로 242,37.60472070000001,127.010585,서울특별시,성북구,111380.0,111380.0,02-2038-9928,070-4324-5396,https://www.sblib.seoul.kr/,"평일 및 주말 09:00~18:00, 수요일 09:00~21:00",매주 월요일 / 법정공휴일,1,공공,지자체,2015,02814,956800.922258795,1956257.00662184,2015.0,2015.0,100,정릉,MG,1,서울특별시 성북구 정릉동 966-1,정릉도서관,정릉도서관,N,서울특별시,성북구,서울,정릉2동
66,106,달빛마루도서관,서울특별시 성북구 종암로 167,37.604481,127.03131599999999,서울특별시,성북구,111302.0,111302.0,02-911-0993,02-911-0994,https://www.sblib.seoul.kr/,"09:00~18:00, 매주 수요일 09:00~21:00","매주 월요일 / 법정공휴일, 도서관 업무상 필요하여 관장이 지정한 날",1,공공,지자체,2012,02734,958630.658532508,1956221.0768234,2012.0,2015.0,100,달빛,MI,1,서울특별시 성북구 하월곡동 88-387,달빛마루도서관,달빛마루도서관,N,서울특별시,성북구,서울,길음2동
67,107,청수도서관,서울특별시 성북구 보국문로16가길 20,37.61172929999999,127.010749,서울특별시,성북구,111437.0,111437.0,02-2038-4423,070-4324-5396,https://www.sblib.seoul.kr/,09:00~18:00,"매주 월요일 / 일요일을 제외한 법정공휴일, 도서관 사정에 의해 관장이 따로 정한 날",1,공공,지자체,2014,02717,956819.450156988,1957034.50537731,2014.0,2015.0,100,청수,MJ,1,서울특별시 성북구 정릉4동 266-121,청수도서관,청수도서관,N,서울특별시,성북구,서울,정릉4동
68,108,종암동새날도서관,서울특별시 성북구 종암로 98-8,37.5990302,127.035098,서울특별시,성북구,111188.0,111188.0,02-6925-6920,02-6442-6925,https://www.sblib.seoul.kr/,09:00~18:00,"매주 월요일 / 일요일을 제외한 법정공휴일, 관장이 필요하다고 인정하는 날",1,공공,지자체,2011,02797,958961.492194179,1955614.67545601,2011.0,2015.0,100,종암,TR,1,서울특별시 성북구 종암동 16-8,종암동새날어린이도서관,종암동새날어린이도서관,N,서울특별시,성북구,서울,종암동
87,1200,동대문구정보화도서관,서울특별시 동대문구 회기로10길 60,37.59006420000001,127.047331,서울특별시,동대문구,111065.0,111065.0,02-960-1959,02-3299-2745,https://www.l4d.or.kr/info/index.do,화요일~일요일 09:00~18:00 (*현재 사회적 거리두기에 따른 부분운영중),"매주 월요일 / 법정공휴일, 도서관 사정에 의한 임시 휴관일",1,공공,지자체,2006,02456,960036.552677516,1954614.66397549,2006.0,2014.0,1200,정보화,MA,1,서울특별시 동대문구 청량리동 206-19,동대문구정보화도서관,동대문구정보화도서관,Y,서울특별시,동대문구,서울,청량리동
92,1205,동대문구답십리도서관,서울특별시 동대문구 서울시립대로4길 75,37.573203,127.050405,서울특별시,동대문구,111445.0,111445.0,02-982-1959,02-2216-9413,https://www.l4d.or.kr/dsn/index.do,오전 9시 ~ 오후 10시,"매주 금요일 / 법정공휴일, 도서관 사정에 의한 임시 휴관일",1,공공,지자체,2014,02596,960298.986502053,1952742.69356582,2014.0,2014.0,1200,답십리,MF,1,서울특별시 동대문구 답십리1동 474-5,동대문구 답십리 도서관,답십리도서관,N,서울특별시,동대문구,서울,답십리1동
96,1209,휘경어린이도서관,서울특별시 동대문구 망우로18가길 38,37.5886815,127.060597,서울특별시,동대문구,111446.0,111446.0,02-2248-1959,02-2248-1969,https://www.l4d.or.kr/hgc/index.do,09:00~18:00,"매주 월요일 / 법정공휴일, 도서관 필요에 의해 관장이 정하는 날",1,공공,지자체,2014,02497,961207.017100368,1954455.69828389,2014.0,2014.0,1200,휘경어린이,MJ,1,서울특별시 동대문구 휘경동 282-4,휘경 어린이도서관,휘경어린이도서관,N,서울특별시,동대문구,서울,휘경2동
122,30100,대림도서관,서울특별시 영등포구 도신로 27,37.5082195,126.90405940000001,서울특별시,영등포구,111083.0,111083.0,02-828-3700,02-828-3701,https://www.ydplib.or.kr/drlib,"평일 09:00~21:00, 주말 09:00~17:00",매주 월요일 / 법정공휴일,1,공공,지자체,,07376,947330.29273129,1945605.0014308,,2021.0,30100,대림,CA,1,,,,Y,서울특별시,영등포구,영등포,도림동
